source_text,tone,target_text,,,
ദയവായി റിപ്പോർട്ട് ഇന്ന് തന്നെ സമർപ്പിക്കണം,formal,Please submit the report today itself,,,
റിപ്പോർട്ട് ഇന്ന് കൊടുക്കാമോ?,informal,Can you give the report today?,,,
സമയത്തിന്റെ ചിറകിൽ പറന്നു പോയൊരു റിപ്പോർട്ട്,poetic,A report that flew away on the wings of time,,,
നിങ്ങളുടെ അപേക്ഷ പരിശോധിച്ച ശേഷം അറിയിക്കും,formal,You will be informed after reviewing your application,,,
അപേക്ഷ നോക്കിയിട്ട് പറയാം,informal,I will tell you after checking the application,,,
വാക്കുകളായി മാറിയൊരു അപേക്ഷ കാത്തിരിപ്പിൽ,poetic,An application waiting as words turned into hope,,,
ദയവായി ഇവിടെ കാത്തിരിക്കുക,formal,Please wait here,,,
ഇവിടെ ഒന്ന് കാത്തിരുന്നാൽ മതി,informal,Just wait here for a bit,,,
കാത്തിരിപ്പിന്റെ നിമിഷങ്ങൾ ഇവിടെ തങ്ങി നിൽക്കുന്നു,poetic,The moments of waiting linger here,,,
യോഗം നാളെ രാവിലെ നടക്കും,formal,The meeting will be held tomorrow morning,,,
നാളെ രാവിലെ മീറ്റിംഗ് ഉണ്ടേ,informal,There is a meeting tomorrow morning,,,
പ്രഭാതത്തിന്റെ വെളിച്ചത്തിൽ ഒരു കൂടിക്കാഴ്ച,poetic,A meeting bathed in the light of dawn,,,
നിങ്ങളുടെ സഹായത്തിന് നന്ദി,formal,Thank you for your assistance,,,
സഹായത്തിന് നന്ദി കേട്ടോ,informal,Thanks for the help,,,
ഹൃദയത്തിൽ പതിഞ്ഞൊരു നന്ദിയുടെ ശബ്ദം,poetic,A sound of gratitude etched in the heart,,,
യോഗം നാളെ രാവിലെ നടക്കും,formal,The meeting will be held tomorrow morning,,,
നാളെ രാവിലെ മീറ്റിംഗ് ഉണ്ടേ,informal,There is a meeting tomorrow morning,,,
പ്രഭാതത്തിന്റെ വെളിച്ചത്തിൽ ഒരു കൂടിക്കാഴ്ച,poetic,A meeting bathed in morning light,,,
ദയവായി ഫോം പൂരിപ്പിക്കുക,formal,Please fill the form,,,
ഫോം ഒന്ന് പൂരിപ്പിച്ചാൽ മതി,informal,Just fill the form,,,
അക്ഷരങ്ങളിൽ ഒളിഞ്ഞൊരു അപേക്ഷ,poetic,A request hidden within letters,,,
ദയവായി ഓഫീസിലേക്ക് വരിക,formal,Please come to the office,,,
ഓഫീസിലേക്ക് ഒന്ന് വന്നാൽ മതി,informal,Just come to the office,,,
ചുവടുകൾ ഓഫീസിലേക്ക് നീങ്ങുന്നു,poetic,Footsteps move toward the office,,,
അപേക്ഷ ഇന്ന് തന്നെ സമർപ്പിക്കേണ്ടതാണ്,formal,The application must be submitted today,,,
അപേക്ഷ ഇന്ന് കൊടുത്താൽ പോരേ,informal,Is it okay if I submit today?,,,
സമയത്തിന്റെ വാതിലിൽ കാത്തുനിൽക്കുന്ന അപേക്ഷ,poetic,An application waiting at the door of time,,,
ദയവായി വിവരങ്ങൾ നൽകുക,formal,Please provide the details,,,
വിവരങ്ങൾ ഒന്ന് പറയൂ,informal,Tell me the details,,,
വാക്കുകളായി തുറക്കുന്ന വിവരങ്ങൾ,poetic,Details unfolding as words,,,
രേഖകൾ ശരിയായി പരിശോധിച്ചു,formal,The documents were verified correctly,,,
രേഖകൾ ഒക്കെ നോക്കി,informal,I checked all the documents,,,
പേപ്പറുകളിൽ ഉറങ്ങുന്ന സത്യം,poetic,Truth sleeping within papers,,,
ദയവായി സമയം പാലിക്കുക,formal,Please be punctual,,,
സമയം കൃത്യമായി പാലിക്കണം,informal,Try to be on time,,,
ഘടികാരത്തിന്റെ ശബ്ദത്തിൽ ഓർമ്മിപ്പിക്കൽ,poetic,A reminder echoing in the clock,,,
യോഗം വൈകാതെ തുടങ്ങും,formal,The meeting will start on time,,,
മീറ്റിംഗ് വൈകില്ല,informal,The meeting won’t be delayed,,,
സമയത്തിന്റെ പാതയിൽ തുടങ്ങുന്ന കൂടിക്കാഴ്ച,poetic,A meeting that begins on time’s path,,,
ദയവായി നിർദ്ദേശങ്ങൾ പാലിക്കുക,formal,Please follow the instructions,,,
പറഞ്ഞത് പോലെ ചെയ്യൂ,informal,Do as told,,,
വാക്കുകൾ വഴികാട്ടിയാകുന്നു,poetic,Words become guiding paths,,,
അപേക്ഷ അംഗീകരിച്ചു,formal,The application has been approved,,,
അപേക്ഷ ഒക്കെ ശരിയായി,informal,The application is approved,,,
പ്രതീക്ഷയ്ക്ക് അംഗീകാരം ലഭിച്ചു,poetic,Hope has been approved,,,
ദയവായി നാളെ വീണ്ടും വരിക,formal,Please come again tomorrow,,,
നാളെ വീണ്ടും വന്നാൽ മതി,informal,Come again tomorrow,,,
നാളെയുടെ വെളിച്ചത്തിൽ വീണ്ടും കാണാം,poetic,We shall meet again in tomorrow’s light,,,
ദയവായി നിങ്ങളുടെ തിരിച്ചറിയൽ രേഖ കാണിക്കുക,formal,Please show your identification document,,,
ഐഡി കാർഡ് ഒന്ന് കാണിക്കാവോ?,informal,Can you show the ID card?,,,
പേരും മുഖവും തെളിയുന്ന ഒരു രേഖ,poetic,A document that reveals name and identity,,,
അപേക്ഷ പൂർണ്ണമാണെന്ന് സ്ഥിരീകരിച്ചു,formal,The application has been confirmed as complete,,,
അപേക്ഷ ഒക്കെ ഒക്കേ ആണ്,informal,The application is all good,,,
പ്രതീക്ഷ പൂർണ്ണതയിലേക്കെത്തി,poetic,Hope has reached completeness,,,
ദയവായി ബിൽ ഇന്ന് തന്നെ അടയ്ക്കണം,formal,Please pay the bill today,,,
ബിൽ ഇന്നേ അടച്ചാൽ പോരെ?,informal,Is it okay if I pay the bill today?,,,
കണക്കുകളുടെ ഭാരം മനസ്സിൽ വീഴുന്നു,poetic,The weight of numbers falls on the mind,,,
യോഗം വൈകാതെ അവസാനിപ്പിക്കും,formal,The meeting will conclude on time,,,
മീറ്റിംഗ് പെട്ടെന്ന് തീർക്കാം,informal,Let’s finish the meeting quickly,,,
സമയം ചുരുങ്ങി സംസാരങ്ങൾ മൗനമാകുന്നു,poetic,Time shrinks and conversations fall silent,,,
ദയവായി ഓഫീസർ ഉടൻ വരും,formal,The officer will arrive shortly,,,
ഓഫീസർ ഇപ്പൊ വരും,informal,The officer is coming now,,,
കാത്തിരിപ്പിന് അവസാനമെത്തുന്നു,poetic,Waiting reaches its end,,,
അപേക്ഷ താൽക്കാലികമായി നിർത്തിവച്ചു,formal,The application has been temporarily paused,,,
അപേക്ഷ ഇപ്പൊ പിടിച്ചിരിക്കുന്നു,informal,The application is on hold,,,
ഇടവേളയിൽ നിൽക്കുന്ന പ്രതീക്ഷ,poetic,Hope standing in a pause,,,
ദയവായി രേഖകൾ ശരിയായി സൂക്ഷിക്കുക,formal,Please keep the documents safely,,,
പേപ്പർ ഒക്കെ സൂക്ഷിച്ച് വെക്കണേ,informal,Keep the papers safely,,,
കാഗിതങ്ങൾ ഓർമ്മകൾ കാത്തുസൂക്ഷിക്കുന്നു,poetic,Papers preserve memories,,,
അപേക്ഷ വീണ്ടും സമർപ്പിക്കേണ്ടതാണ്,formal,The application must be resubmitted,,,
അപേക്ഷ വീണ്ടും കൊടുക്കണം,informal,You need to submit it again,,,
വീണ്ടും തുടങ്ങുന്ന ഒരു യാത്ര,poetic,A journey that begins again,,,
ദയവായി സമയപരിധി പാലിക്കുക,formal,Please follow the deadline,,,
സമയം കൃത്യമായി നോക്കണേ,informal,Make sure you watch the time,,,
ഘടികാരത്തിന്റെ ശബ്ദം മുന്നറിയിപ്പ് നൽകുന്നു,poetic,The clock’s sound gives a warning,,,
രേഖകൾ പരിശോധിച്ചു കഴിഞ്ഞു,formal,The documents have been verified,,,
